src,dst,score
Nu5188fyBvHZHvgEgZT2bQ,IKSmm5MzHF8cMhMolKaIOw,0.8722379
rCWrxuRC8_pfagpchtHp6A,xQLy_wpqrR3etSXt61OIIg,0.71005416
maK3UBQczh33NuDjBYeHrA,K0sapHOlhlGNjx3GBeSf5A,0.9183249
siXOnFrtV0a_YjOJr-X2Mg,7hAhYoMPjHnxKCz6MQ95Bg,0.8849003
_4iFWWuZ6_RrzyXZrMq3Mw,rTK_sTPgBjJXkdKi2G3X-w,0.8141061
8Ox2EA8A7FVSzVEM3TRn7Q,rt3PC7WCgCKsoufmQJELfw,0.70766175
OWkGZSuBXbz5W8C1tltfwg,xRnNWMDmd1J4mtJa3ro3GQ,0.90038013
MD-QMO8zcqd584wcpzo9sg,51F2D9e9pXJkTys_RrDT4A,0.9049913
UpKyMVk02grOEJDPPsbZjQ,X5whw8WcB8dVZGZ5vGnSLg,0.41518468
zcp389V72h0DKl69X72wKQ,wxqxIOP9SoqKY3ZxvKchqg,0.45828947
XXKjsdglgwSs9kWtK6ZWUQ,-SjQXQd-IRfOdUdYYwWGOQ,0.8982726
hG_avl7Y53921rMICkbtzg,DVS5ceHCDMDt8o5zvv6chg,0
3nIuSCZk5f_2WWYMLN7h3w,YLeDSZ1Nh1N0hNsSyQdE3A,0.8853086
aUhcscNphAJQlZe1R_WRow,P5pau3q9JLXmWbzlUad0zQ,0.47967348
QxjnhtNCCGb-DrjJNqPBlw,MrjWsyI5wLyhXsIUbmzt8w,0.5977311
B7AjB8W2BWJtXPjweJs9pw,MMf0LhEk5tGa1LvN7zcDnA,0.9614548
MnqJ1lIaMb1dJAM1-JvXGA,i7A_WX6mEnGqRK-rvFG5Ew,0.3127047
SrF972IxsELYQ3eaWB5X4A,pT9ROBNVA8pqURJ96JRRXg,0.35566112
rTK_sTPgBjJXkdKi2G3X-w,1CLaXpJSM0xVxAWSgrzOIg,0.71674436
F78tJHr0qW6FsYBtWMmLpA,0juzbrgcLHqobdK-OZAyiw,0.7797888
pn_flI3EBNugBEYFp9okxQ,Hci2c0qo98CO-Pv-VmV7gg,0.8980266
3gRfkaVcEWri-Ju7OQX7uQ,U4INQZOPSUaj8hMjLlZ3KA,0.7677176
SEZVQUIxNukcowUAR14VUQ,S43yjoh6c3vVKaQTIRoL0w,0.93809414
kwIhn1_cnQeUaLN0CuWWHw,lluNN1aQlFN7NQQ2BxFBUQ,0.9179108
w2wFvtGWp7ZGMe-T9fsRIA,SS3sFA9ksCT9bjocM3Wbug,-0.002904186
6VWcSinzrX70zwLf1vopHQ,gwIqbXEXijQNgdESVc07hg,0.94172674
zN7UEYPQwUQdDULm_pDWdQ,_1UbhUyIKUxBV3pKwPCB9Q,0.9117758
k0hZPaZjS1y8A-gxGjWsQQ,j7QAx9MEmqMolj-SVnrFPw,0.58130145
Kw89TEnwBNHOrX7kEmOJSQ,jilGEWFqRU_lnoweP0LS5g,0.32160178
1uVmN3vSvxCrxijXFwtIrA,1fPiKjZhkGWLya1QLkwlhQ,0.9084883
ejA3ISqJ0-XltI0IFwb16g,WeVkkF5L39888IPPlRhNpg,0.9701764
TyepNPbEnMCy1_IhsT0YAg,QJI9OSEn6ujRCtrX06vs1w,0.60460097
SAWkTZbP79ildfrDsiqUrQ,wXZS42D0L8hoCiSh2Krc_A,0.9459038
QLgFEumhrHq6LgbEOKCzdw,wxDM6hqyW5OPp5cXzn6F0w,0.10113872
nUN2FOWj4G3ZmyCeDkq-FA,gFjWE3VFXHH2nNCnabmDYA,0
KRM2G39ahSTQgkpmD7AvMg,68svv5bAMiIO9SMPpukxTA,0.51955914
