src,dst,score
Nu5188fyBvHZHvgEgZT2bQ,IKSmm5MzHF8cMhMolKaIOw,0.8609427
rCWrxuRC8_pfagpchtHp6A,xQLy_wpqrR3etSXt61OIIg,0.7609011
maK3UBQczh33NuDjBYeHrA,K0sapHOlhlGNjx3GBeSf5A,0.90907884
siXOnFrtV0a_YjOJr-X2Mg,7hAhYoMPjHnxKCz6MQ95Bg,0.88980436
_4iFWWuZ6_RrzyXZrMq3Mw,rTK_sTPgBjJXkdKi2G3X-w,0.83021516
8Ox2EA8A7FVSzVEM3TRn7Q,rt3PC7WCgCKsoufmQJELfw,0.5998703
OWkGZSuBXbz5W8C1tltfwg,xRnNWMDmd1J4mtJa3ro3GQ,0.9116778
MD-QMO8zcqd584wcpzo9sg,51F2D9e9pXJkTys_RrDT4A,0.8017114
UpKyMVk02grOEJDPPsbZjQ,X5whw8WcB8dVZGZ5vGnSLg,0.5869418
zcp389V72h0DKl69X72wKQ,wxqxIOP9SoqKY3ZxvKchqg,0.46890992
XXKjsdglgwSs9kWtK6ZWUQ,-SjQXQd-IRfOdUdYYwWGOQ,0.87733394
hG_avl7Y53921rMICkbtzg,DVS5ceHCDMDt8o5zvv6chg,0
3nIuSCZk5f_2WWYMLN7h3w,YLeDSZ1Nh1N0hNsSyQdE3A,0.92143226
aUhcscNphAJQlZe1R_WRow,P5pau3q9JLXmWbzlUad0zQ,0.55521506
QxjnhtNCCGb-DrjJNqPBlw,MrjWsyI5wLyhXsIUbmzt8w,0.73614985
B7AjB8W2BWJtXPjweJs9pw,MMf0LhEk5tGa1LvN7zcDnA,0.94724417
MnqJ1lIaMb1dJAM1-JvXGA,i7A_WX6mEnGqRK-rvFG5Ew,0.24349909
SrF972IxsELYQ3eaWB5X4A,pT9ROBNVA8pqURJ96JRRXg,0.283616
rTK_sTPgBjJXkdKi2G3X-w,1CLaXpJSM0xVxAWSgrzOIg,0.5328572
F78tJHr0qW6FsYBtWMmLpA,0juzbrgcLHqobdK-OZAyiw,0.78606427
pn_flI3EBNugBEYFp9okxQ,Hci2c0qo98CO-Pv-VmV7gg,0.9471554
3gRfkaVcEWri-Ju7OQX7uQ,U4INQZOPSUaj8hMjLlZ3KA,0.73353976
SEZVQUIxNukcowUAR14VUQ,S43yjoh6c3vVKaQTIRoL0w,0.93299204
kwIhn1_cnQeUaLN0CuWWHw,lluNN1aQlFN7NQQ2BxFBUQ,0.9315538
w2wFvtGWp7ZGMe-T9fsRIA,SS3sFA9ksCT9bjocM3Wbug,0.08530197
6VWcSinzrX70zwLf1vopHQ,gwIqbXEXijQNgdESVc07hg,0.9296788
zN7UEYPQwUQdDULm_pDWdQ,_1UbhUyIKUxBV3pKwPCB9Q,0.86976844
k0hZPaZjS1y8A-gxGjWsQQ,j7QAx9MEmqMolj-SVnrFPw,0.5476714
Kw89TEnwBNHOrX7kEmOJSQ,jilGEWFqRU_lnoweP0LS5g,0.45875448
1uVmN3vSvxCrxijXFwtIrA,1fPiKjZhkGWLya1QLkwlhQ,0.9358829
ejA3ISqJ0-XltI0IFwb16g,WeVkkF5L39888IPPlRhNpg,0.9805182
TyepNPbEnMCy1_IhsT0YAg,QJI9OSEn6ujRCtrX06vs1w,0.56356484
SAWkTZbP79ildfrDsiqUrQ,wXZS42D0L8hoCiSh2Krc_A,0.8509568
QLgFEumhrHq6LgbEOKCzdw,wxDM6hqyW5OPp5cXzn6F0w,0.27222005
nUN2FOWj4G3ZmyCeDkq-FA,gFjWE3VFXHH2nNCnabmDYA,0
KRM2G39ahSTQgkpmD7AvMg,68svv5bAMiIO9SMPpukxTA,0.43122914
RwWbL1fg0xclj859glImxg,XAsTftSdKLetN-g6hD_i7w,0.7286446
ZQjoljK0x0i769YIPAtuSg,QWy7aQREa3VQwmxXdtemfQ,0.5182915
Q9mA60HnY87C1TW5kjAZ6Q,orh0HRUNCWuQMt9Iia_osg,0.84710634
Gr17h3JDn7wWQo40kJKaGQ,UOM1TCOUqT2UD19p-yxWLA,0.49878156
VkOfzZHe9oUbjedeCfWAWg,nkL-QV-7KAReSLvzzM5JHg,0.12921685
DKdttAvXagfAfNFIKeApuw,KGsXnYHvYddGaL_jyl0DMQ,0.86869264
_VMGbmIeK71rQGwOBWt_Kg,4guhHcnzrximsz-DeEvskg,0.9029904
zFYs8gSUYDvXkb6O7YkRkw,LbMJEGRN8679j7ue5Y9RIQ,0.9346318
wGGdj_gh-wwejcYmjf_tbw,uE05bjFYmHMm5Zy-e2Tk3A,0.3372046
YrlNGnrofZHseVYxrLrvJA,BkMqpJikNc3r5itc-ui6ww,0.91611254
zTCwJg0hPY_cb3vWY0XMbg,M9rRM6Eo5YbKLKMG5QiIPA,0.7612647
Q6iiwjxWCfesMNz2sJYHZw,Xrgz6k5D_Mq0AnwL3bH3eQ,0.3282542
aXuADtwWImTx87Sl4kK68A,vPOkQJKahhR13LQ2ElSFGg,0.62337315
Ryxj0u0AW3mRsRypdYli2A,AmMd7xpnaf8axS_roCBFRw,0.6489765
0FMte0z-repSVWSJ_BaQTg,os-sDQoh-hCt2Lg76z6ZUA,0.87117904
50wPDE_Gk936RYV7i4FJhw,wFDewm6fvtVRZ0te5em63A,0.73999864
xdW2zehpCYsdXCLnbYABeg,P14bqC_Ynbp8O3tLePRKSw,0.8786799
CDHORt_NH2R6ySLHZ4npmg,ZmFNgnR_yUFIQ8oifnmbVQ,0.021400627
La1ggB37gvq6UWpEWaMtMA,YtcUQ_6xWKLWesEjfF75FQ,0.42921567
ExoW-xCFqb5qVxLBqc943g,bxBR0vakC_OAU-5rCYCDsw,0.89221936
s76BDmBx_8kcxGFDiU6k_g,oFU9ITr5I5uIzxbY-q2uqA,0.9174748
f-ysez9SJSosLUON1BihWg,hwSSM8Jn29dXRW4ym-roDQ,0.7026503
PW_75-OTzdPzQvNrAkNqBA,QmH5O1JHDOBvUqzr4vz5-Q,0.38662997
s-591-mtIyP7F1Lffw98jw,kzRq4H_nSf4b3F_sdymWSw,0.85355514
8HLcBhTyEDLDOeu45JSAfQ,uGe2SkX3qd6WOfcvcVm9sw,0.7018578
KFZISl5mOUJ6bu3qCUrO-g,UH6RCH9K1o2VW3CU8PY5iQ,0.9246635
eAPxR9W0m8SmLElL27_ChA,PFENoZUD77aioJGrnllIKA,0.4116951
JUT0U3HTSB3kz9Wh7N0GqA,8EipJXehR14DD9x9N7RSSw,0.9079627
6XRavd6UBlIZb3vXyRBvJQ,H93EsZIkTfgZ4TjSM_9jUw,0.38157177
QjzkxIlYdf76MHxHst38_w,9sv4lPr5owwLRzJPKkn6Vw,0.3989536
SRJV_DzWUG_KlBoCvVN4NQ,6Nk8WX1STMTEuKjmRlrh6A,0.75677085
3xORNxbKdd08LUf0tclx3A,PcvbBOCOcs6_suRDH7TSTg,0.7059203
XwoDN4X7jPdruiqXhNEWHw,EOdbhE5Aaf3MjaBWaRj2XA,0.24253431
d5WLqmTMvmL7-RmUDVKqqQ,cCke3VtFLtqgzkgYSrSE2g,0.2808571
SEgN685ZDVXInVzbnu2ipA,fYUR22Fd2MUl2KV9rLKEDw,0.45417196
G-_KF_Ul4d3WGEa-G0Iq4g,sd2L3NqJvdUVKcOEXlxu-A,0.3223277
xIWLjJvadN8yrO25fb_UQA,FhkZk24n_Dh-pVLpBKUwEw,0.063552685
VMfwMYh8iJapW807Pu1Diw,FdMNvBDX--D_MWuu5qKWDw,0.9467719
F2av57ztcbYiPADtT-YpdA,EXKDLuYoZUKUNNNYA7TlGQ,0.5731077
y1T2_UdBrEiFJisMAxKr2Q,xXyZPAbfQzYTCig7jnZO0A,0.8410966
s5F0viIdrelfeDtcMM65PQ,0IKfgkXrxwZ8LAsArWhwBg,0.5828951
