src,dst,score
Nu5188fyBvHZHvgEgZT2bQ,IKSmm5MzHF8cMhMolKaIOw,0.9360476
rCWrxuRC8_pfagpchtHp6A,xQLy_wpqrR3etSXt61OIIg,0.72054553
maK3UBQczh33NuDjBYeHrA,K0sapHOlhlGNjx3GBeSf5A,0.8468299
siXOnFrtV0a_YjOJr-X2Mg,7hAhYoMPjHnxKCz6MQ95Bg,0.93513125
_4iFWWuZ6_RrzyXZrMq3Mw,rTK_sTPgBjJXkdKi2G3X-w,0.766278
8Ox2EA8A7FVSzVEM3TRn7Q,rt3PC7WCgCKsoufmQJELfw,0.67859757
OWkGZSuBXbz5W8C1tltfwg,xRnNWMDmd1J4mtJa3ro3GQ,0
MD-QMO8zcqd584wcpzo9sg,51F2D9e9pXJkTys_RrDT4A,0.8949847
UpKyMVk02grOEJDPPsbZjQ,X5whw8WcB8dVZGZ5vGnSLg,0.61693454
zcp389V72h0DKl69X72wKQ,wxqxIOP9SoqKY3ZxvKchqg,0.25879127
XXKjsdglgwSs9kWtK6ZWUQ,-SjQXQd-IRfOdUdYYwWGOQ,0.8555564
hG_avl7Y53921rMICkbtzg,DVS5ceHCDMDt8o5zvv6chg,0
3nIuSCZk5f_2WWYMLN7h3w,YLeDSZ1Nh1N0hNsSyQdE3A,0.94683653
aUhcscNphAJQlZe1R_WRow,P5pau3q9JLXmWbzlUad0zQ,0.49722344
QxjnhtNCCGb-DrjJNqPBlw,MrjWsyI5wLyhXsIUbmzt8w,0.64267886
B7AjB8W2BWJtXPjweJs9pw,MMf0LhEk5tGa1LvN7zcDnA,0.93992156
MnqJ1lIaMb1dJAM1-JvXGA,i7A_WX6mEnGqRK-rvFG5Ew,0.46799657
SrF972IxsELYQ3eaWB5X4A,pT9ROBNVA8pqURJ96JRRXg,0.2225898
rTK_sTPgBjJXkdKi2G3X-w,1CLaXpJSM0xVxAWSgrzOIg,0.7228144
F78tJHr0qW6FsYBtWMmLpA,0juzbrgcLHqobdK-OZAyiw,0.7175887
pn_flI3EBNugBEYFp9okxQ,Hci2c0qo98CO-Pv-VmV7gg,0.93671423
3gRfkaVcEWri-Ju7OQX7uQ,U4INQZOPSUaj8hMjLlZ3KA,0.73054075
SEZVQUIxNukcowUAR14VUQ,S43yjoh6c3vVKaQTIRoL0w,0.76915324
kwIhn1_cnQeUaLN0CuWWHw,lluNN1aQlFN7NQQ2BxFBUQ,0.8979993
w2wFvtGWp7ZGMe-T9fsRIA,SS3sFA9ksCT9bjocM3Wbug,0.32586014
6VWcSinzrX70zwLf1vopHQ,gwIqbXEXijQNgdESVc07hg,0.87633586
zN7UEYPQwUQdDULm_pDWdQ,_1UbhUyIKUxBV3pKwPCB9Q,0.9321657
k0hZPaZjS1y8A-gxGjWsQQ,j7QAx9MEmqMolj-SVnrFPw,0
Kw89TEnwBNHOrX7kEmOJSQ,jilGEWFqRU_lnoweP0LS5g,0.44306955
1uVmN3vSvxCrxijXFwtIrA,1fPiKjZhkGWLya1QLkwlhQ,0.9350351
ejA3ISqJ0-XltI0IFwb16g,WeVkkF5L39888IPPlRhNpg,0
TyepNPbEnMCy1_IhsT0YAg,QJI9OSEn6ujRCtrX06vs1w,0.49404806
SAWkTZbP79ildfrDsiqUrQ,wXZS42D0L8hoCiSh2Krc_A,0.8533434
QLgFEumhrHq6LgbEOKCzdw,wxDM6hqyW5OPp5cXzn6F0w,0.39627182
nUN2FOWj4G3ZmyCeDkq-FA,gFjWE3VFXHH2nNCnabmDYA,0
KRM2G39ahSTQgkpmD7AvMg,68svv5bAMiIO9SMPpukxTA,0.25556418
RwWbL1fg0xclj859glImxg,XAsTftSdKLetN-g6hD_i7w,0.46750507
ZQjoljK0x0i769YIPAtuSg,QWy7aQREa3VQwmxXdtemfQ,0.3805687
Q9mA60HnY87C1TW5kjAZ6Q,orh0HRUNCWuQMt9Iia_osg,0.9221437
Gr17h3JDn7wWQo40kJKaGQ,UOM1TCOUqT2UD19p-yxWLA,0.5888148
VkOfzZHe9oUbjedeCfWAWg,nkL-QV-7KAReSLvzzM5JHg,0.35533464
DKdttAvXagfAfNFIKeApuw,KGsXnYHvYddGaL_jyl0DMQ,0.84070605
_VMGbmIeK71rQGwOBWt_Kg,4guhHcnzrximsz-DeEvskg,0.88734937
zFYs8gSUYDvXkb6O7YkRkw,LbMJEGRN8679j7ue5Y9RIQ,0.9500565
wGGdj_gh-wwejcYmjf_tbw,uE05bjFYmHMm5Zy-e2Tk3A,0.18344115
YrlNGnrofZHseVYxrLrvJA,BkMqpJikNc3r5itc-ui6ww,0.8528869
zTCwJg0hPY_cb3vWY0XMbg,M9rRM6Eo5YbKLKMG5QiIPA,0.7096201
Q6iiwjxWCfesMNz2sJYHZw,Xrgz6k5D_Mq0AnwL3bH3eQ,0.1491981
aXuADtwWImTx87Sl4kK68A,vPOkQJKahhR13LQ2ElSFGg,0.64012593
Ryxj0u0AW3mRsRypdYli2A,AmMd7xpnaf8axS_roCBFRw,0.6374342
0FMte0z-repSVWSJ_BaQTg,os-sDQoh-hCt2Lg76z6ZUA,0.83584595
50wPDE_Gk936RYV7i4FJhw,wFDewm6fvtVRZ0te5em63A,0.677499
xdW2zehpCYsdXCLnbYABeg,P14bqC_Ynbp8O3tLePRKSw,0.88249844
CDHORt_NH2R6ySLHZ4npmg,ZmFNgnR_yUFIQ8oifnmbVQ,0
La1ggB37gvq6UWpEWaMtMA,YtcUQ_6xWKLWesEjfF75FQ,0.59476006
ExoW-xCFqb5qVxLBqc943g,bxBR0vakC_OAU-5rCYCDsw,0.98909414
s76BDmBx_8kcxGFDiU6k_g,oFU9ITr5I5uIzxbY-q2uqA,0.91350675
f-ysez9SJSosLUON1BihWg,hwSSM8Jn29dXRW4ym-roDQ,0.736674
PW_75-OTzdPzQvNrAkNqBA,QmH5O1JHDOBvUqzr4vz5-Q,0.22806187
s-591-mtIyP7F1Lffw98jw,kzRq4H_nSf4b3F_sdymWSw,0.8654162
